table|key|adminhtmltag|admintype|jobhtmltag|admintype|value|selvaltype|jscript|phpCode|required
application|id|input|hidden|na|na|na|na|na|na|0
application|applicantId|input|text|na|na|na|na|na|na|0
application|careerId|input|text|na|na|na|na|na|na|0
application|msg1|label|na|na|na|na|na|na|na|0
application|msg2|label|na|na|na|na|na|na|na|0
application|msg2|label|na|na|na|na|na|na|na|0
application|msg4|label|na|na|na|na|na|na|na|0
career|id|input|hidden|input|checkbox|yes|na|na|"$checked = """";  if ( $val != """" && $fndJobList != """" && ! strstr($fndJobList,""#"".$val.""&"") === false ){  $checked = 'checked'; }"|0
career|req_number|input|text|label|na|na|na|na|na|1
career|title|input|text|label|na|na|na|na|na|1
career|city|input|text|label|na|na|na|na|na|1
career|state|select|option|label|na|"states,select * from states"|sql|na|na|1
career|country|select|option|label|na|"countries,select * from countries"|sql|na|na|1
career|shortdescription|input|text|label|na|na|na|na|na|1
career|description|input|text|label|na|na|na|na|na|1
career|min_salary|input|text|label|na|na|na|na|na|0
career|max_salary|input|text|label|na|na|na|na|na|0
career|clearance|select|option|label|na|"no_No,yes_Yes"|text|na|na|0
career|citizenship|select|option|label|na|"no_No,yes_Yes"|text|na|na|0
career|category|input|text|label|na|na|na|na|na|0
career|open_date|input|text|label|na|na|na|na|na|1
career|shift|input|text|label|na|na|na|na|na|0
career|employment_status|input|text|label|na|na|na|na|na|1
career|status|input|text|label|na|na|na|na|na|0
career|msg1|label|na|label|na|na|na|na|na|0
career|msg2|label|na|label|na|na|na|na|na|0
career|msg2|label|na|label|na|na|na|na|na|0
career|msg4|label|na|label|na|na|na|na|na|0
certification|id|input|hidden|input|hidden|na|na|na|na|0
certification|applicantId|label|text|label|text|na|na|na|na|0
certification|name|input|text|input|text|na|na|na|na|0
certification|date_certified|input|text|input|text|na|na|na|na|0
certification|msg1|label|na|label|na|na|na|na|na|0
certification|msg2|label|na|label|na|na|na|na|na|0
certification|msg2|label|na|label|na|na|na|na|na|0
certification|msg4|label|na|label|na|na|na|na|na|0
configuration|id|input|hidden|na|na|na|na|na|na|0
configuration|item_type|input|text|na|na|na|na|na|na|0
configuration|item_order|input|text|na|na|na|na|na|na|0
configuration|item_value|input|text|na|na|na|na|na|na|0
configuration|item_version|input|text|na|na|na|na|na|na|0
configuration|msg1|label|na|na|na|na|na|na|na|0
configuration|msg2|label|na|na|na|na|na|na|na|0
configuration|msg2|label|na|na|na|na|na|na|na|0
configuration|msg4|label|na|na|na|na|na|na|na|0
eeo|id|input|hidden|input|hidden|na|na|na|na|0
eeo|applicantId|label|na|label|na|na|na|na|na|0
eeo|race|input|text|input|text|na|na|na|na|0
eeo|ethnic|input|text|input|text|na|na|na|na|0
eeo|gender|select|na|select|na|"male_Male,female_Female"|text|na|na|0
eeo|nonvetdisabled|select|na|select|na|"no_No,yes_Yes"|text|na|na|0
eeo|vetdisabled|select|na|select|na|"no_No,yes_Yes"|text|na|na|0
eeo|vietnamvet|select|na|select|na|"no_No,yes_Yes"|text|na|na|0
eeo|militaryvet|select|na|select|na|"no_No,yes_Yes"|text|na|na|0
eeo|other|input|text|input|text|na|na|na|na|0
eeo|msg1|label|na|label|na|na|na|na|na|0
eeo|msg2|label|na|label|na|na|na|na|na|0
eeo|msg2|label|na|label|na|na|na|na|na|0
eeo|msg4|label|na|label|na|na|na|na|na|0
email|id|input|hidden|na|na|na|na|na|na|0
email|role|input|text|na|na|na|na|na|na|1
email|smtpHost|input|text|na|na|na|na|na|na|1
email|smtpAuth|select|option|na|na|"no_No,yes_Yes"|text|na|na|1
email|smtpApplicant|input|text|na|na|na|na|na|na|0
email|smtpPassword|input|text|na|na|na|na|na|na|0
email|emailfrom|input|text|na|na|na|na|na|na|1
email|emailsubject|input|text|na|na|na|na|na|na|1
email|emailbody|input|text|na|na|na|na|na|na|1
email|altBody|input|text|na|na|na|na|na|na|1
email|msg1|label|na|na|na|na|na|na|na|0
email|msg2|label|na|na|na|na|na|na|na|0
email|msg2|label|na|na|na|na|na|na|na|0
email|msg4|label|na|na|na|na|na|na|na|0
language|id|input|hidden|na|na|na|na|na|na|0
language|locale|input|text|na|na|na|na|na|na|1
language|resource_key|input|text|na|na|na|na|na|na|1
language|resource_value|input|text|na|na|na|na|na|na|1
language|msg1|label|na|na|na|na|na|na|na|0
language|msg2|label|na|na|na|na|na|na|na|0
language|msg2|label|na|na|na|na|na|na|na|0
language|msg4|label|na|na|na|na|na|na|na|0
notification|id|input|hidden|na|na|na|na|na|na|0
notification|applicantId|label|na|na|na|na|na|na|na|0
notification|applicationId|label|na|na|na|na|na|na|na|0
notification|msg1|label|na|na|na|na|na|na|na|0
notification|msg2|label|na|na|na|na|na|na|na|0
notification|msg2|label|na|na|na|na|na|na|na|0
notification|msg4|label|na|na|na|na|na|na|na|0
profile|id|input|hidden|input|hidden|na|na|na|na|0
profile|applicantId|label|na|label|na|na|na|na|na|0
profile|current_salary|input|text|input|text|na|na|na|na|1
profile|desired_salary|input|text|input|text|na|na|na|na|0
profile|relocate|select|na|select|na|"no_No,yes_Yes"|text|na|na|1
profile|clearance_type|input|text|input|text|na|na|na|na|0
profile|status|select|| select|| "1_Active,0_Inactive"|text|na|na|1
profile|super_applicant|select|| select|| "0_No,1_Yes"|text|na|na|0
profile|uscitizen|select|na|select|na|"no_No,yes_Yes"|text|na|na|1
profile|nationality|input|text|input|text|na|na|na|na|1
profile|job_notification|input|text|input|text|na|na|na|na|0
profile|locale|input|text|input|text|select * from language where key ='languages'|sql|na|na|0
profile|msg1|label|na|label|na|na|na|na|na|0
profile|msg2|label|na|label|na|na|na|na|na|0
profile|msg2|label|na|label|na|na|na|na|na|0
profile|msg4|label|na|label|na|na|na|na|na|0
report|id|input|hidden|na|na|na|na|na|na|0
report|name|input|text|na|na|na|na|na|na|0
report|name_key|input|text|na|na|na|na|na|na|0
report|description|input|text|na|na|na|na|na|na|0
report|data_type|input|text|na|na|na|na|na|na|0
report|report_type|input|text|na|na|na|na|na|na|0
report|file_data|input|text|na|na|na|na|na|na|0
report|class_name|input|text|na|na|na|na|na|na|0
report|msg1|label|na|na|na|na|na|na|na|0
report|msg2|label|na|na|na|na|na|na|na|0
report|msg2|label|na|na|na|na|na|na|na|0
report|msg4|label|na|na|na|na|na|na|na|0
requirement|id|input|hidden|label|na|na|na|na|na|0
requirement|careerId|label|na|label|na|na|na|na|na|0
requirement|type|input|text|label|na|na|na|na|na|1
requirement|description|input|text|label|na|na|na|na|na|1
requirement|msg1|label|na|label|na|na|na|na|na|0
requirement|msg2|label|na|label|na|na|na|na|na|0
requirement|msg2|label|na|label|na|na|na|na|na|0
requirement|msg4|label|na|label|na|na|na|na|na|0
resume|id|input|hidden|input|hidden|na|na|na|na|0
resume|applicantId|label|na|na|na|na|na|na|na|0
resume|description|input|text|input|text|na|na|na|na|1
resume|orig_file_name|label|na|na|na|na|na|na|na|0
resume|attachment_type|label|na|na|na|na|na|na|na|0
resume|file_data|na|na|na|na|na|na|na|na|0
resume|file_name|input|file|input|file|na|na|na|na|1
resume|file_size|label|na|label|na|na|na|na|na|0
resume|msg1|label|na|label|na|na|na|na|na|0
resume|msg2|label|na|label|na|na|na|na|na|0
resume|msg2|label|na|label|na|na|na|na|na|0
resume|msg4|label|na|label|na|na|na|na|na|0
applicant|id|input|hidden|input|hidden|na|na|na|na|0
applicant|first_name|input|text|input|text|na|na|na|na|1
applicant|middle_initial|input|text|input|text|na|na|na|na|1
applicant|last_name|input|text|input|text|na|na|na|na|1
applicant|nick_name|input|text|input|text|na|na|na|na|0
applicant|address1|input|text|input|text|na|na|na|na|1
applicant|address2|input|text|input|text|na|na|na|na|0
applicant|city|input|text|input|text|na|na|na|na|1
applicant|state|select|na|select|na|"states,select * from states"|na|na|na|1
applicant|zipcode|input|text|input|text|na|na|na|na|1
applicant|country|input|text|input|text|"countries,select * from countries"|na|na|na|0
applicant|homephone|input|text|input|text|na|na|na|na|1
applicant|workphone|input|text|input|text|na|na|na|na|1
applicant|cellphone|input|text|input|text|na|na|na|na|0
applicant|secret_question|input|text|input|text|na|na|na|na|1
applicant|secret_answer|input|text|input|text|na|na|na|na|1
applicant|email|input|text|input|text|na|na|na|na|1
applicant|password|input|password|input|password|na|na|na|na|1
applicant|msg1|label|na|label|na|na|na|na|na|0
applicant|msg2|label|na|label|na|na|na|na|na|0
applicant|msg2|label|na|label|na|na|na|na|na|0
